materials,Inform/Explore,31
and,Inform/Explore,11914
methods,Inform/Explore,26
during,Inform/Explore,279
this,Inform/Explore,3011
experiment,Inform/Explore,41
vital,Inform/Explore,107
capacity,Inform/Explore,126
was,Inform/Explore,3241
measured,Inform/Explore,63
in,Inform/Explore,8407
liters,Inform/Explore,14
l,Inform/Explore,479
using,Inform/Explore,244
a,Inform/Explore,8957
phipps,Inform/Explore,9
bird,Inform/Explore,23
9liter,Inform/Explore,7
wet,Inform/Explore,12
spirometer,Inform/Explore,29
it,Inform/Explore,3559
group,Inform/Explore,84
of,Inform/Explore,11039
principles,Inform/Explore,104
biology,Inform/Explore,105
students,Inform/Explore,776
from,Inform/Explore,1926
local,Inform/Explore,41
university,Inform/Explore,109
laboratory,Inform/Explore,13
sections,Inform/Explore,30
l54,Inform/Explore,10
l55,Inform/Explore,12
l56,Inform/Explore,10
03c,Inform/Explore,7
the,Inform/Explore,22723
sample,Inform/Explore,30
size,Inform/Explore,46
for,Inform/Explore,3508
96,Inform/Explore,84
which,Inform/Explore,1038
included,Inform/Explore,41
71,Inform/Explore,28
females,Inform/Explore,86
25,Inform/Explore,150
males,Inform/Explore,85
with,Inform/Explore,2810
ages,Inform/Explore,58
ranging,Inform/Explore,31
1734,Inform/Explore,6
years,Inform/Explore,227
old,Inform/Explore,116
each,Inform/Explore,380
subject,Inform/Explore,89
his,Inform/Explore,2193
or,Inform/Explore,1697
her,Inform/Explore,3777
both,Inform/Explore,534
supine,Inform/Explore,4
standing,Inform/Explore,351
position,Inform/Explore,48
to,Inform/Explore,14664
do,Inform/Explore,838
so,Inform/Explore,919
inhaled,Inform/Explore,5
their,Inform/Explore,2513
maximum,Inform/Explore,21
then,Inform/Explore,406
forcefully,Inform/Explore,2
expelled,Inform/Explore,4
all,Inform/Explore,1128
remaining,Inform/Explore,9
air,Inform/Explore,125
into,Inform/Explore,642
mouthpiece,Inform/Explore,3
connected,Inform/Explore,27
student,Inform/Explore,159
recorded,Inform/Explore,49
as,Inform/Explore,3322
stated,Inform/Explore,155
on,Inform/Explore,2559
dial,Inform/Explore,3
reset,Inform/Explore,1
by,Inform/Explore,2081
removing,Inform/Explore,4
zeroing,Inform/Explore,1
done,Inform/Explore,148
three,Inform/Explore,189
times,Inform/Explore,222
lastly,Inform/Explore,40
average,Inform/Explore,230
determined,Inform/Explore,25
adding,Inform/Explore,22
values,Inform/Explore,33
that,Inform/Explore,7139
dividing,Inform/Explore,4
result,Inform/Explore,113
there,Inform/Explore,1187
are,Inform/Explore,2954
many,Inform/Explore,984
other,Inform/Explore,877
factors,Inform/Explore,75
studied,Inform/Explore,31
may,Inform/Explore,491
have,Inform/Explore,2028
affected,Inform/Explore,74
were,Inform/Explore,1300
parameters,Inform/Explore,77
chest,Inform/Explore,240
circumference,Inform/Explore,200
height,Inform/Explore,212
resting,Inform/Explore,77
pulse,Inform/Explore,64
rate,Inform/Explore,109
centimeters,Inform/Explore,7
tape,Inform/Explore,13
measure,Inform/Explore,35
meter,Inform/Explore,15
stick,Inform/Explore,25
after,Inform/Explore,440
sat,Inform/Explore,16
rested,Inform/Explore,3
10,Inform/Explore,53
minutes,Inform/Explore,71
palpated,Inform/Explore,1
own,Inform/Explore,486
placing,Inform/Explore,19
index,Inform/Explore,13
middle,Inform/Explore,42
fingers,Inform/Explore,17
one,Inform/Explore,1171
hand,Inform/Explore,111
radial,Inform/Explore,22
artery,Inform/Explore,12
arm,Inform/Explore,19
counted,Inform/Explore,5
number,Inform/Explore,97
beats,Inform/Explore,98
15,Inform/Explore,60
second,Inform/Explore,112
time,Inform/Explore,787
interval,Inform/Explore,3
mychron,Inform/Explore,11
stopwatch,Inform/Explore,11
15second,Inform/Explore,1
separate,Inform/Explore,23
multiplied,Inform/Explore,9
four,Inform/Explore,58
determine,Inform/Explore,37
subjects,Inform/Explore,96
oneminute,Inform/Explore,5
additionally,Inform/Explore,21
also,Inform/Explore,1205
hisher,Inform/Explore,21
age,Inform/Explore,291
sex,Inform/Explore,105
whether,Inform/Explore,130
they,Inform/Explore,3147
smoker,Inform/Explore,27
nonsmoker,Inform/Explore,9
an,Inform/Explore,1614
athlete,Inform/Explore,30
nonathlete,Inform/Explore,6
finally,Inform/Explore,63
statistical,Inform/Explore,7
analysis,Inform/Explore,123
used,Inform/Explore,482
analyze,Inform/Explore,28
data,Inform/Explore,132
any,Inform/Explore,407
relationshipcorrelation,Inform/Explore,3
between,Inform/Explore,505
regression,Inform/Explore,1
how,Inform/Explore,1672
identify,Inform/Explore,51
love,Inform/Explore,1091
knowing,Inform/Explore,110
what,Inform/Explore,1486
is,Inform/Explore,7036
not,Inform/Explore,2773
intense,Inform/Explore,24
feeling,Inform/Explore,166
affection,Inform/Explore,30
abuse,Inform/Explore,666
doesnt,Inform/Explore,163
intentionally,Inform/Explore,15
hurt,Inform/Explore,56
you,Inform/Explore,1662
nor,Inform/Explore,42
make,Inform/Explore,630
feel,Inform/Explore,390
less,Inform/Explore,173
worthy,Inform/Explore,8
than,Inform/Explore,590
next,Inform/Explore,90
does,Inform/Explore,549
control,Inform/Explore,142
take,Inform/Explore,335
away,Inform/Explore,224
your,Inform/Explore,516
loved,Inform/Explore,58
ones,Inform/Explore,145
life,Inform/Explore,801
can,Inform/Explore,1656
