sloppy,Persuade,190
people,Persuade,2017
what,Persuade,925
is,Persuade,4949
your,Persuade,388
definition,Persuade,8
of,Persuade,8423
a,Persuade,6814
neat,Persuade,235
person,Persuade,442
someone,Persuade,284
who,Persuade,872
tidy,Persuade,7
or,Persuade,1547
wellformed,Persuade,1
being,Persuade,785
based,Persuade,238
on,Persuade,2350
an,Persuade,1310
individuals,Persuade,164
personal,Persuade,182
judgement,Persuade,7
way,Persuade,520
i,Persuade,995
practice,Persuade,46
neatness,Persuade,21
clean,Persuade,36
my,Persuade,390
room,Persuade,38
getting,Persuade,159
ready,Persuade,21
in,Persuade,6487
the,Persuade,16636
morning,Persuade,6
hassle,Persuade,1
for,Persuade,3194
me,Persuade,255
and,Persuade,9013
hate,Persuade,23
looking,Persuade,57
things,Persuade,369
to,Persuade,11023
make,Persuade,553
sure,Persuade,68
dont,Persuade,258
go,Persuade,337
through,Persuade,456
this,Persuade,2114
every,Persuade,251
thoroughly,Persuade,4
everything,Persuade,149
straightened,Persuade,1
out,Persuade,571
week,Persuade,45
understand,Persuade,136
how,Persuade,1091
much,Persuade,400
you,Persuade,1080
care,Persuade,213
about,Persuade,936
life,Persuade,867
because,Persuade,1283
it,Persuade,2835
shows,Persuade,167
dedicated,Persuade,12
have,Persuade,2168
good,Persuade,323
time,Persuade,664
management,Persuade,59
skills,Persuade,173
confident,Persuade,19
something,Persuade,263
great,Persuade,165
thing,Persuade,144
show,Persuade,147
effort,Persuade,31
put,Persuade,187
any,Persuade,355
tackle,Persuade,5
given,Persuade,145
task,Persuade,19
thats,Persuade,50
should,Persuade,606
see,Persuade,348
example,Persuade,252
always,Persuade,186
entire,Persuade,41
house,Persuade,42
saturday,Persuade,3
never,Persuade,228
missed,Persuade,9
cleaning,Persuade,10
therefore,Persuade,117
missing,Persuade,10
saturdays,Persuade,1
according,Persuade,198
sam,Persuade,6
gosling,Persuade,1
associate,Persuade,16
professor,Persuade,37
psychology,Persuade,79
at,Persuade,808
university,Persuade,175
texas,Persuade,11
he,Persuade,585
states,Persuade,338
are,Persuade,3365
generally,Persuade,26
conscientious,Persuade,3
they,Persuade,3425
pay,Persuade,260
attention,Persuade,72
order,Persuade,142
think,Persuade,257
before,Persuade,141
act,Persuade,74
these,Persuade,1039
want,Persuade,288
air,Persuade,3
traffic,Persuade,6
control,Persuade,110
