it,Reflect,944
is,Reflect,1090
a,Reflect,2262
cold,Reflect,6
windy,Reflect,1
wednesday,Reflect,2
evening,Reflect,2
in,Reflect,1859
the,Reflect,4221
middle,Reflect,21
of,Reflect,1966
december,Reflect,3
i,Reflect,3611
mentally,Reflect,3
prepare,Reflect,14
to,Reflect,3872
open,Reflect,18
urban,Reflect,2
air,Reflect,6
trampoline,Reflect,1
park,Reflect,12
homewood,Reflect,1
alabama,Reflect,9
at,Reflect,429
its,Reflect,88
scheduled,Reflect,1
time,Reflect,266
3:00 PM,Reflect,1
usually,Reflect,16
arrive,Reflect,4
about,Reflect,343
10,Reflect,6
minutes,Reflect,23
early,Reflect,11
just,Reflect,219
get,Reflect,199
correct,Reflect,7
mood,Reflect,4
before,Reflect,89
entering,Reflect,4
workplace,Reflect,6
this,Reflect,667
particular,Reflect,16
day,Reflect,153
happened,Reflect,27
only,Reflect,154
couple,Reflect,8
opening,Reflect,5
my,Reflect,2018
surprise,Reflect,7
there,Reflect,276
was,Reflect,1221
group,Reflect,60
customers,Reflect,6
parking,Reflect,2
lot,Reflect,76
waiting,Reflect,14
for,Reflect,964
us,Reflect,178
unlock,Reflect,1
doors,Reflect,5
their,Reflect,299
access,Reflect,10
showing,Reflect,18
courtesy,Reflect,2
chose,Reflect,11
allow,Reflect,21
them,Reflect,246
enter,Reflect,3
despite,Reflect,8
being,Reflect,258
employee,Reflect,6
on,Reflect,607
site,Reflect,1
little,Reflect,84
did,Reflect,186
know,Reflect,173
extent,Reflect,7
problems,Reflect,23
these,Reflect,158
people,Reflect,375
would,Reflect,592
bring,Reflect,48
me,Reflect,859
,Reflect,36
fellow,Reflect,2
staff,Reflect,11
members,Reflect,11
upon,Reflect,15
entrance,Reflect,2
extremely,Reflect,28
disrespectful,Reflect,1
they,Reflect,460
refused,Reflect,6
even,Reflect,146
answer,Reflect,15
any,Reflect,125
questions,Reflect,22
or,Reflect,341
attempt,Reflect,5
help,Reflect,105
through,Reflect,142
signin,Reflect,1
process,Reflect,41
thought,Reflect,65
throughout,Reflect,53
entire,Reflect,34
interaction,Reflect,2
remained,Reflect,3
positive,Reflect,20
because,Reflect,318
didnt,Reflect,53
want,Reflect,137
longterm,Reflect,4
problem,Reflect,11
insinuate,Reflect,1
from,Reflect,379
situation,Reflect,45
point,Reflect,55
weve,Reflect,2
been,Reflect,144
building,Reflect,17
5,Reflect,33
and,Reflect,3056
theyve,Reflect,3
completely,Reflect,25
service,Reflect,24
am,Reflect,313
confused,Reflect,9
wondering,Reflect,9
anything,Reflect,42
different,Reflect,153
couldve,Reflect,3
said,Reflect,72
done,Reflect,48
make,Reflect,167
better,Reflect,94
as,Reflect,687
begin,Reflect,11
call,Reflect,34
owner,Reflect,4
looking,Reflect,26
advice,Reflect,10
coworker,Reflect,2
elizabeth,Reflect,2
enters,Reflect,1
changes,Reflect,17
groups,Reflect,17
demeanor,Reflect,2
changed,Reflect,51
when,Reflect,355
